"","Year","Name","Movie","Award","Win"
"1","1936","Paul Muni","The Story of Louis Pasteur","Actor","Won"
"2","1936","Gary Cooper","Mr. Deeds Goes to Town","Actor","Lost"
"3","1936","Walter Huston","Dodsworth","Actor","Lost"
"4","1936","William Powell","My Man Godfrey","Actor","Lost"
"5","1936","Spencer Tracy","San Francisco","Actor","Lost"
"6","1937","Spencer Tracy","Captains Courageous","Actor","Won"
"7","1937","Charles Boyer","Conquest","Actor","Lost"
"8","1937","Fredric March","A Star Is Born","Actor","Lost"
"9","1937","Robert Montgomery","Night Must Fall","Actor","Lost"
"10","1937","Paul Muni","The Life of Émile Zola","Actor","Lost"
"11","1938","Spencer Tracy","Boys Town","Actor","Won"
"12","1938","Charles Boyer","Algiers","Actor","Lost"
"13","1938","James Cagney","Angels with Dirty Faces","Actor","Lost"
"14","1938","Robert Donat","The Citadel","Actor","Lost"
"15","1938","Leslie Howard","Pygmalion","Actor","Lost"
"16","1939","Robert Donat","Goodbye, Mr. Chips","Actor","Won"
"17","1939","Clark Gable","Gone with the Wind","Actor","Lost"
"18","1939","Laurence Olivier","Wuthering Heights","Actor","Lost"
"19","1939","Mickey Rooney","Babes in Arms","Actor","Lost"
"20","1939","James Stewart","Mr. Smith Goes to Washington","Actor","Lost"
"21","1940","James Stewart","The Philadelphia Story","Actor","Won"
"22","1940","Charlie Chaplin","The Great Dictator","Actor","Lost"
"23","1940","Henry Fonda","The Grapes of Wrath","Actor","Lost"
"24","1940","Raymond Massey","Abe Lincoln in Illinois","Actor","Lost"
"25","1940","Laurence Olivier","Rebecca","Actor","Lost"
"26","1941","Gary Cooper","Sergeant York","Actor","Won"
"27","1941","Cary Grant","Penny Serenade","Actor","Lost"
"28","1941","Walter Huston","The Devil and Daniel Webster","Actor","Lost"
"29","1941","Robert Montgomery","Here Comes Mr. Jordan","Actor","Lost"
"30","1941","Orson Welles","Citizen Kane","Actor","Lost"
"31","1942","James Cagney","Yankee Doodle Dandy","Actor","Won"
"32","1942","Ronald Colman","Random Harvest","Actor","Lost"
"33","1942","Gary Cooper","The Pride of the Yankees","Actor","Lost"
"34","1942","Walter Pidgeon","Mrs. Miniver","Actor","Lost"
"35","1942","Monty Woolley","The Pied Piper","Actor","Lost"
"36","1943","Paul Lukas","Watch on the Rhine","Actor","Won"
"37","1943","Humphrey Bogart","Casablanca","Actor","Lost"
"38","1943","Gary Cooper","For Whom the Bell Tolls","Actor","Lost"
"39","1943","Walter Pidgeon","Madame Curie","Actor","Lost"
"40","1943","Mickey Rooney","The Human Comedy","Actor","Lost"
"41","1944","Bing Crosby","Going My Way","Actor","Won"
"42","1944","Charles Boyer","Gaslight","Actor","Lost"
"43","1944","Barry Fitzgerald","Going My Way","Actor","Lost"
"44","1944","Cary Grant","None but the Lonely Heart","Actor","Lost"
"45","1944","Alexander Knox","Wilson","Actor","Lost"
"46","1945","Ray Milland","The Lost Weekend","Actor","Won"
"47","1945","Bing Crosby","The Bells of St. Mary's","Actor","Lost"
"48","1945","Gene Kelly","Anchors Aweigh","Actor","Lost"
"49","1945","Gregory Peck","The Keys of the Kingdom","Actor","Lost"
"50","1945","Cornel Wilde","A Song to Remember","Actor","Lost"
"51","1946","Fredric March","The Best Years of Our Lives","Actor","Won"
"52","1946","Laurence Olivier","Henry V","Actor","Lost"
"53","1946","Larry Parks","The Jolson Story","Actor","Lost"
"54","1946","Gregory Peck","The Yearling","Actor","Lost"
"55","1946","James Stewart","It's a Wonderful Life","Actor","Lost"
"56","1947","Ronald Colman","A Double Life","Actor","Won"
"57","1947","John Garfield","Body and Soul","Actor","Lost"
"58","1947","Gregory Peck","Gentleman's Agreement","Actor","Lost"
"59","1947","William Powell","Life with Father","Actor","Lost"
"60","1947","Michael Redgrave","Mourning Becomes Electra","Actor","Lost"
"61","1948","Laurence Olivier","Hamlet","Actor","Won"
"62","1948","Lew Ayres","Johnny Belinda","Actor","Lost"
"63","1948","Montgomery Clift","The Search","Actor","Lost"
"64","1948","Dan Dailey","When My Baby Smiles at Me","Actor","Lost"
"65","1948","Clifton Webb","Sitting Pretty","Actor","Lost"
"66","1949","Broderick Crawford","All the King's Men","Actor","Won"
"67","1949","Kirk Douglas","Champion","Actor","Lost"
"68","1949","Gregory Peck","Twelve O'Clock High","Actor","Lost"
"69","1949","Richard Todd","The Hasty Heart","Actor","Lost"
"70","1949","John Wayne","Sands of Iwo Jima","Actor","Lost"
"71","1950","José Ferrer","Cyrano de Bergerac","Actor","Won"
"72","1950","Louis Calhern","The Magnificent Yankee","Actor","Lost"
"73","1950","William Holden","Sunset Boulevard","Actor","Lost"
"74","1950","James Stewart","Harvey","Actor","Lost"
"75","1950","Spencer Tracy","Father of the Bride","Actor","Lost"
"76","1951","Humphrey Bogart","The African Queen","Actor","Won"
"77","1951","Marlon Brando","A Streetcar Named Desire","Actor","Lost"
"78","1951","Montgomery Clift","A Place in the Sun","Actor","Lost"
"79","1951","Arthur Kennedy","Bright Victory","Actor","Lost"
"80","1951","Fredric March","Death of a Salesman","Actor","Lost"
"81","1952","Gary Cooper","High Noon","Actor","Won"
"82","1952","Marlon Brando","Viva Zapata!","Actor","Lost"
"83","1952","Kirk Douglas","The Bad and the Beautiful","Actor","Lost"
"84","1952","José Ferrer","Moulin Rouge","Actor","Lost"
"85","1952","Alec Guinness","The Lavender Hill Mob","Actor","Lost"
"86","1953","William Holden","Stalag 17","Actor","Won"
"87","1953","Marlon Brando","Julius Caesar","Actor","Lost"
"88","1953","Richard Burton","The Robe","Actor","Lost"
"89","1953","Montgomery Clift","From Here to Eternity","Actor","Lost"
"90","1953","Burt Lancaster","From Here to Eternity","Actor","Lost"
"91","1954","Marlon Brando","On the Waterfront","Actor","Won"
"92","1954","Humphrey Bogart","The Caine Mutiny","Actor","Lost"
"93","1954","Bing Crosby","The Country Girl","Actor","Lost"
"94","1954","James Mason","A Star Is Born","Actor","Lost"
"95","1954","Dan O'Herlihy","Adventures of Robinson Crusoe","Actor","Lost"
"96","1955","Ernest Borgnine","Marty","Actor","Won"
"97","1955","James Cagney","Love Me or Leave Me","Actor","Lost"
"98","1955","James Dean*[39]","East of Eden","Actor","Lost"
"99","1955","Frank Sinatra","The Man with the Golden Arm","Actor","Lost"
"100","1955","Spencer Tracy","Bad Day at Black Rock","Actor","Lost"
"101","1956","Yul Brynner","The King and I","Actor","Won"
"102","1956","James Dean*[39]","Giant","Actor","Lost"
"103","1956","Kirk Douglas","Lust for Life","Actor","Lost"
"104","1956","Rock Hudson","Giant","Actor","Lost"
"105","1956","Laurence Olivier","Richard III","Actor","Lost"
"106","1957","Alec Guinness","The Bridge on the River Kwai","Actor","Won"
"107","1957","Marlon Brando","Sayonara","Actor","Lost"
"108","1957","Anthony Franciosa","A Hatful of Rain","Actor","Lost"
"109","1957","Charles Laughton","Witness for the Prosecution","Actor","Lost"
"110","1957","Anthony Quinn","Wild Is the Wind","Actor","Lost"
"111","1958","David Niven","Separate Tables","Actor","Won"
"112","1958","Tony Curtis","The Defiant Ones","Actor","Lost"
"113","1958","Paul Newman","Cat on a Hot Tin Roof","Actor","Lost"
"114","1958","Sidney Poitier","The Defiant Ones","Actor","Lost"
"115","1958","Spencer Tracy","The Old Man and the Sea","Actor","Lost"
"116","1959","Charlton Heston","Ben-Hur","Actor","Won"
"117","1959","Laurence Harvey","Room at the Top","Actor","Lost"
"118","1959","Jack Lemmon","Some Like It Hot","Actor","Lost"
"119","1959","Paul Muni","The Last Angry Man","Actor","Lost"
"120","1959","James Stewart","Anatomy of a Murder","Actor","Lost"
"121","1960","Burt Lancaster","Elmer Gantry","Actor","Won"
"122","1960","Trevor Howard","Sons and Lovers","Actor","Lost"
"123","1960","Jack Lemmon","The Apartment","Actor","Lost"
"124","1960","Laurence Olivier","The Entertainer","Actor","Lost"
"125","1960","Spencer Tracy","Inherit the Wind","Actor","Lost"
"126","1961","Maximilian Schell","Judgment at Nuremberg","Actor","Won"
"127","1961","Charles Boyer","Fanny","Actor","Lost"
"128","1961","Paul Newman","The Hustler","Actor","Lost"
"129","1961","Spencer Tracy","Judgment at Nuremberg","Actor","Lost"
"130","1961","Stuart Whitman","The Mark","Actor","Lost"
"131","1962","Gregory Peck","To Kill a Mockingbird","Actor","Won"
"132","1962","Burt Lancaster","Birdman of Alcatraz","Actor","Lost"
"133","1962","Jack Lemmon","Days of Wine and Roses","Actor","Lost"
"134","1962","Marcello Mastroianni","Divorce Italian Style","Actor","Lost"
"135","1962","Peter O'Toole","Lawrence of Arabia","Actor","Lost"
"136","1963","Sidney Poitier","Lilies of the Field","Actor","Won"
"137","1963","Albert Finney","Tom Jones","Actor","Lost"
"138","1963","Richard Harris","This Sporting Life","Actor","Lost"
"139","1963","Rex Harrison","Cleopatra","Actor","Lost"
"140","1963","Paul Newman","Hud","Actor","Lost"
"141","1964","Rex Harrison","My Fair Lady","Actor","Won"
"142","1964","Richard Burton","Becket","Actor","Lost"
"143","1964","Peter O'Toole","Becket","Actor","Lost"
"144","1964","Anthony Quinn","Zorba the Greek","Actor","Lost"
"145","1964","Peter Sellers","Dr. Strangelove","Actor","Lost"
"146","1965","Lee Marvin","Cat Ballou","Actor","Won"
"147","1965","Richard Burton","The Spy Who Came in from the Cold","Actor","Lost"
"148","1965","Laurence Olivier","Othello","Actor","Lost"
"149","1965","Rod Steiger","The Pawnbroker","Actor","Lost"
"150","1965","Oskar Werner","Ship of Fools","Actor","Lost"
"151","1966","Paul Scofield","A Man for All Seasons","Actor","Won"
"152","1966","Alan Arkin","The Russians Are Coming, the Russians Are Coming","Actor","Lost"
"153","1966","Richard Burton","Who's Afraid of Virginia Woolf?","Actor","Lost"
"154","1966","Michael Caine","Alfie","Actor","Lost"
"155","1966","Steve McQueen","The Sand Pebbles","Actor","Lost"
"156","1967","Rod Steiger","In the Heat of the Night","Actor","Won"
"157","1967","Warren Beatty","Bonnie and Clyde","Actor","Lost"
"158","1967","Dustin Hoffman","The Graduate","Actor","Lost"
"159","1967","Paul Newman","Cool Hand Luke","Actor","Lost"
"160","1967","Spencer Tracy*[39]","Guess Who's Coming to Dinner","Actor","Lost"
"161","1968","Cliff Robertson","Charly","Actor","Won"
"162","1968","Alan Arkin","The Heart Is a Lonely Hunter","Actor","Lost"
"163","1968","Alan Bates","The Fixer","Actor","Lost"
"164","1968","Ron Moody","Oliver!","Actor","Lost"
"165","1968","Peter O'Toole","The Lion in Winter","Actor","Lost"
"166","1969","John Wayne","True Grit","Actor","Won"
"167","1969","Richard Burton","Anne of the Thousand Days","Actor","Lost"
"168","1969","Dustin Hoffman","Midnight Cowboy","Actor","Lost"
"169","1969","Peter O'Toole","Goodbye, Mr. Chips","Actor","Lost"
"170","1969","Jon Voight","Midnight Cowboy","Actor","Lost"
"171","1970","George C. Scott§[54]","Patton","Actor","Won"
"172","1970","Melvyn Douglas","I Never Sang for My Father","Actor","Lost"
"173","1970","James Earl Jones","The Great White Hope","Actor","Lost"
"174","1970","Jack Nicholson","Five Easy Pieces","Actor","Lost"
"175","1970","Ryan O'Neal","Love Story","Actor","Lost"
"176","1971","Gene Hackman","The French Connection","Actor","Won"
"177","1971","Peter Finch","Sunday Bloody Sunday","Actor","Lost"
"178","1971","Walter Matthau","Kotch","Actor","Lost"
"179","1971","George C. Scott","The Hospital","Actor","Lost"
"180","1971","Chaim Topol","Fiddler on the Roof","Actor","Lost"
"181","1972","Marlon Brando§[54]","The Godfather","Actor","Won"
"182","1972","Michael Caine","Sleuth","Actor","Lost"
"183","1972","Laurence Olivier","Sleuth","Actor","Lost"
"184","1972","Peter O'Toole","The Ruling Class","Actor","Lost"
"185","1972","Paul Winfield","Sounder","Actor","Lost"
"186","1973","Jack Lemmon","Save the Tiger","Actor","Won"
"187","1973","Marlon Brando","Last Tango in Paris","Actor","Lost"
"188","1973","Jack Nicholson","The Last Detail","Actor","Lost"
"189","1973","Al Pacino","Serpico","Actor","Lost"
"190","1973","Robert Redford","The Sting","Actor","Lost"
"191","1974","Art Carney","Harry and Tonto","Actor","Won"
"192","1974","Albert Finney","Murder on the Orient Express","Actor","Lost"
"193","1974","Dustin Hoffman","Lenny","Actor","Lost"
"194","1974","Jack Nicholson","Chinatown","Actor","Lost"
"195","1974","Al Pacino","The Godfather Part II","Actor","Lost"
"196","1975","Jack Nicholson","One Flew Over the Cuckoo's Nest","Actor","Won"
"197","1975","Walter Matthau","The Sunshine Boys","Actor","Lost"
"198","1975","Al Pacino","Dog Day Afternoon","Actor","Lost"
"199","1975","Maximilian Schell","The Man in the Glass Booth","Actor","Lost"
"200","1975","James Whitmore","Give 'em Hell, Harry!","Actor","Lost"
"201","1976","Peter Finch^[39]","Network","Actor","Won"
"202","1976","Robert De Niro","Taxi Driver","Actor","Lost"
"203","1976","Giancarlo Giannini","Seven Beauties","Actor","Lost"
"204","1976","William Holden","Network","Actor","Lost"
"205","1976","Sylvester Stallone","Rocky","Actor","Lost"
"206","1977","Richard Dreyfuss","The Goodbye Girl","Actor","Won"
"207","1977","Woody Allen","Annie Hall","Actor","Lost"
"208","1977","Richard Burton","Equus","Actor","Lost"
"209","1977","Marcello Mastroianni","A Special Day","Actor","Lost"
"210","1977","John Travolta","Saturday Night Fever","Actor","Lost"
"211","1978","Jon Voight","Coming Home","Actor","Won"
"212","1978","Warren Beatty","Heaven Can Wait","Actor","Lost"
"213","1978","Gary Busey","The Buddy Holly Story","Actor","Lost"
"214","1978","Robert De Niro","The Deer Hunter","Actor","Lost"
"215","1978","Laurence Olivier","The Boys from Brazil","Actor","Lost"
"216","1979","Dustin Hoffman","Kramer vs. Kramer","Actor","Won"
"217","1979","Jack Lemmon","The China Syndrome","Actor","Lost"
"218","1979","Al Pacino","...And Justice for All","Actor","Lost"
"219","1979","Roy Scheider","All That Jazz","Actor","Lost"
"220","1979","Peter Sellers","Being There","Actor","Lost"
"221","1980","Robert De Niro","Raging Bull","Actor","Won"
"222","1980","Robert Duvall","The Great Santini","Actor","Lost"
"223","1980","John Hurt","The Elephant Man","Actor","Lost"
"224","1980","Jack Lemmon","Tribute","Actor","Lost"
"225","1980","Peter O'Toole","The Stunt Man","Actor","Lost"
"226","1981","Henry Fonda","On Golden Pond","Actor","Won"
"227","1981","Warren Beatty","Reds","Actor","Lost"
"228","1981","Burt Lancaster","Atlantic City","Actor","Lost"
"229","1981","Dudley Moore","Arthur","Actor","Lost"
"230","1981","Paul Newman","Absence of Malice","Actor","Lost"
"231","1982","Ben Kingsley","Gandhi","Actor","Won"
"232","1982","Dustin Hoffman","Tootsie","Actor","Lost"
"233","1982","Jack Lemmon","Missing","Actor","Lost"
"234","1982","Paul Newman","The Verdict","Actor","Lost"
"235","1982","Peter O'Toole","My Favorite Year","Actor","Lost"
"236","1983","Robert Duvall","Tender Mercies","Actor","Won"
"237","1983","Michael Caine","Educating Rita","Actor","Lost"
"238","1983","Tom Conti","Reuben, Reuben","Actor","Lost"
"239","1983","Tom Courtenay","The Dresser","Actor","Lost"
"240","1983","Albert Finney","The Dresser","Actor","Lost"
"241","1984","F. Murray Abraham","Amadeus","Actor","Won"
"242","1984","Jeff Bridges","Starman","Actor","Lost"
"243","1984","Albert Finney","Under the Volcano","Actor","Lost"
"244","1984","Tom Hulce","Amadeus","Actor","Lost"
"245","1984","Sam Waterston","The Killing Fields","Actor","Lost"
"246","1985","William Hurt","Kiss of the Spider Woman","Actor","Won"
"247","1985","Harrison Ford","Witness","Actor","Lost"
"248","1985","James Garner","Murphy's Romance","Actor","Lost"
"249","1985","Jack Nicholson","Prizzi's Honor","Actor","Lost"
"250","1985","Jon Voight","Runaway Train","Actor","Lost"
"251","1986","Paul Newman","The Color of Money","Actor","Won"
"252","1986","Dexter Gordon","Round Midnight","Actor","Lost"
"253","1986","Bob Hoskins","Mona Lisa","Actor","Lost"
"254","1986","William Hurt","Children of a Lesser God","Actor","Lost"
"255","1986","James Woods","Salvador","Actor","Lost"
"256","1987","Michael Douglas","Wall Street","Actor","Won"
"257","1987","William Hurt","Broadcast News","Actor","Lost"
"258","1987","Marcello Mastroianni","Dark Eyes","Actor","Lost"
"259","1987","Jack Nicholson","Ironweed","Actor","Lost"
"260","1987","Robin Williams","Good Morning, Vietnam","Actor","Lost"
"261","1988","Dustin Hoffman","Rain Man","Actor","Won"
"262","1988","Gene Hackman","Mississippi Burning","Actor","Lost"
"263","1988","Tom Hanks","Big","Actor","Lost"
"264","1988","Edward James Olmos","Stand and Deliver","Actor","Lost"
"265","1988","Max von Sydow","Pelle the Conqueror","Actor","Lost"
"266","1989","Daniel Day-Lewis","My Left Foot","Actor","Won"
"267","1989","Kenneth Branagh","Henry V","Actor","Lost"
"268","1989","Tom Cruise","Born on the Fourth of July","Actor","Lost"
"269","1989","Morgan Freeman","Driving Miss Daisy","Actor","Lost"
"270","1989","Robin Williams","Dead Poets Society","Actor","Lost"
"271","1990","Jeremy Irons","Reversal of Fortune","Actor","Won"
"272","1990","Kevin Costner","Dances with Wolves","Actor","Lost"
"273","1990","Robert De Niro","Awakenings","Actor","Lost"
"274","1990","Gérard Depardieu","Cyrano de Bergerac","Actor","Lost"
"275","1990","Richard Harris","The Field","Actor","Lost"
"276","1991","Anthony Hopkins","The Silence of the Lambs","Actor","Won"
"277","1991","Warren Beatty","Bugsy","Actor","Lost"
"278","1991","Robert De Niro","Cape Fear","Actor","Lost"
"279","1991","Nick Nolte","The Prince of Tides","Actor","Lost"
"280","1991","Robin Williams","The Fisher King","Actor","Lost"
"281","1992","Al Pacino","Scent of a Woman","Actor","Won"
"282","1992","Robert Downey, Jr.","Chaplin","Actor","Lost"
"283","1992","Clint Eastwood","Unforgiven","Actor","Lost"
"284","1992","Stephen Rea","The Crying Game","Actor","Lost"
"285","1992","Denzel Washington","Malcolm X","Actor","Lost"
"286","1993","Tom Hanks","Philadelphia","Actor","Won"
"287","1993","Daniel Day-Lewis","In the Name of the Father","Actor","Lost"
"288","1993","Laurence Fishburne","What's Love Got to Do with It","Actor","Lost"
"289","1993","Anthony Hopkins","The Remains of the Day","Actor","Lost"
"290","1993","Liam Neeson","Schindler's List","Actor","Lost"
"291","1994","Tom Hanks","Forrest Gump","Actor","Won"
"292","1994","Morgan Freeman","The Shawshank Redemption","Actor","Lost"
"293","1994","Nigel Hawthorne","The Madness of King George","Actor","Lost"
"294","1994","Paul Newman","Nobody's Fool","Actor","Lost"
"295","1994","John Travolta","Pulp Fiction","Actor","Lost"
"296","1995","Nicolas Cage","Leaving Las Vegas","Actor","Won"
"297","1995","Richard Dreyfuss","Mr. Holland's Opus","Actor","Lost"
"298","1995","Anthony Hopkins","Nixon","Actor","Lost"
"299","1995","Sean Penn","Dead Man Walking","Actor","Lost"
"300","1995","Massimo Troisi*[39]","Il Postino","Actor","Lost"
"301","1996","Geoffrey Rush","Shine","Actor","Won"
"302","1996","Tom Cruise","Jerry Maguire","Actor","Lost"
"303","1996","Ralph Fiennes","The English Patient","Actor","Lost"
"304","1996","Woody Harrelson","The People vs. Larry Flynt","Actor","Lost"
"305","1996","Billy Bob Thornton","Sling Blade","Actor","Lost"
"306","1997","Jack Nicholson","As Good as It Gets","Actor","Won"
"307","1997","Matt Damon","Good Will Hunting","Actor","Lost"
"308","1997","Robert Duvall","The Apostle","Actor","Lost"
"309","1997","Peter Fonda","Ulee's Gold","Actor","Lost"
"310","1997","Dustin Hoffman","Wag the Dog","Actor","Lost"
"311","1998","Roberto Benigni","Life Is Beautiful","Actor","Won"
"312","1998","Tom Hanks","Saving Private Ryan","Actor","Lost"
"313","1998","Ian McKellen","Gods and Monsters","Actor","Lost"
"314","1998","Nick Nolte","Affliction","Actor","Lost"
"315","1998","Edward Norton","American History X","Actor","Lost"
"316","1999","Kevin Spacey","American Beauty","Actor","Won"
"317","1999","Russell Crowe","The Insider","Actor","Lost"
"318","1999","Richard Farnsworth","The Straight Story","Actor","Lost"
"319","1999","Sean Penn","Sweet and Lowdown","Actor","Lost"
"320","1999","Denzel Washington","The Hurricane","Actor","Lost"
"321","2000","Russell Crowe","Gladiator","Actor","Won"
"322","2000","Javier Bardem","Before Night Falls","Actor","Lost"
"323","2000","Tom Hanks","Cast Away","Actor","Lost"
"324","2000","Ed Harris","Pollock","Actor","Lost"
"325","2000","Geoffrey Rush","Quills","Actor","Lost"
"326","2001","Denzel Washington","Training Day","Actor","Won"
"327","2001","Russell Crowe","A Beautiful Mind","Actor","Lost"
"328","2001","Sean Penn","I Am Sam","Actor","Lost"
"329","2001","Will Smith","Ali","Actor","Lost"
"330","2001","Tom Wilkinson","In the Bedroom","Actor","Lost"
"331","2002","Adrien Brody","The Pianist","Actor","Won"
"332","2002","Nicolas Cage","Adaptation","Actor","Lost"
"333","2002","Michael Caine","The Quiet American","Actor","Lost"
"334","2002","Daniel Day-Lewis","Gangs of New York","Actor","Lost"
"335","2002","Jack Nicholson","About Schmidt","Actor","Lost"
"336","2003","Sean Penn","Mystic River","Actor","Won"
"337","2003","Johnny Depp","Pirates of the Caribbean: The Curse of the Black Pearl","Actor","Lost"
"338","2003","Ben Kingsley","House of Sand and Fog","Actor","Lost"
"339","2003","Jude Law","Cold Mountain","Actor","Lost"
"340","2003","Bill Murray","Lost in Translation","Actor","Lost"
"341","2004","Jamie Foxx","Ray","Actor","Won"
"342","2004","Don Cheadle","Hotel Rwanda","Actor","Lost"
"343","2004","Johnny Depp","Finding Neverland","Actor","Lost"
"344","2004","Leonardo DiCaprio","The Aviator","Actor","Lost"
"345","2004","Clint Eastwood","Million Dollar Baby","Actor","Lost"
"346","2005","Philip Seymour Hoffman","Capote","Actor","Won"
